code,name,date,open,high,low,close,volume,amount
601857,中国石油,2024-01-23,6.31179699,6.37482492,6.17673714,6.31179699,135385464,943482518.0
601857,中国石油,2024-01-24,6.32080098,6.54590073,6.29378901,6.53689674,169985431,1215700399.07
601857,中国石油,2024-01-25,6.5729127,7.19418801,6.54590073,7.19418801,378027534,2909825460.47
601857,中国石油,2024-01-26,7.24821195,7.69841145,7.09514412,7.6533915,593009559,4823883680.43
601857,中国石油,2024-01-29,7.55434761,7.96853115,7.42829175,7.5633516,586392463,4976919503.67
601857,中国石油,2024-01-30,7.49131968,7.78845135,7.4733117,7.5633516,364425093,3082528803.54
601857,中国石油,2024-01-31,7.50932766,7.70741544,7.4733117,7.52733564,321814304,2709883366.75
601857,中国石油,2024-02-01,7.3832718,7.51833165,7.28422791,7.33825185,364404315,2985635987.02
601857,中国石油,2024-02-02,7.2932319,7.4733117,7.17618003,7.2932319,308338869,2519513412.18
601857,中国石油,2024-02-05,7.25721594,7.58135958,7.25721594,7.48231569,435567239,3600174086.26
601857,中国石油,2024-02-06,7.42829175,7.50932766,7.23920796,7.31123988,328011383,2674727052.9
601857,中国石油,2024-02-07,7.2932319,7.49131968,7.14016407,7.48231569,373426118,3027913355.85
601857,中国石油,2024-02-08,7.39227579,7.5633516,7.32024387,7.45530372,268741800,2220830979.48
601857,中国石油,2024-02-19,7.45530372,7.79745534,7.39227579,7.78845135,321573775,2732246800.89
601857,中国石油,2024-02-20,7.7434314,7.80645933,7.67139948,7.77944736,184550268,1589633077.31
601857,中国石油,2024-02-21,7.7434314,8.04956706,7.72542342,7.84247529,312287893,2738330683.29
601857,中国石油,2024-02-22,7.77044337,8.29267479,7.77044337,8.29267479,322411660,2885728608.75
601857,中国石油,2024-02-23,8.36470671,8.40072267,8.103591,8.16661893,282484704,2570115752.46
601857,中国石油,2024-02-26,8.103591,8.22064287,7.93251519,7.95952716,248728463,2223115168.36
601857,中国石油,2024-02-27,7.95952716,8.11259499,7.9235112,7.99554312,208408701,1851012781.32
601857,中国石油,2024-02-28,7.93251519,8.07657903,7.81546332,7.95952716,278727374,2457073690.59
601857,中国石油,2024-02-29,7.90550322,7.99554312,7.86948726,7.95952716,206939563,1822502486.76
601857,中国石油,2024-03-01,7.90550322,7.99554312,7.85147928,7.90550322,176714038,1552046718.35
601857,中国石油,2024-03-04,7.93251519,8.23865085,7.90550322,8.21163888,313545401,2822418973.77
601857,中国石油,2024-03-05,8.14861095,8.22964686,8.04056307,8.14861095,249929865,2258240356.03
601857,中国石油,2024-03-06,8.13060297,8.26566282,8.03155908,8.08558302,191910508,1735199601.94
601857,中国石油,2024-03-07,8.05857105,8.31968676,8.05857105,8.16661893,212986731,1939805586.45
601857,中国石油,2024-03-08,8.14861095,8.29267479,8.06757504,8.26566282,202721600,1845160427.97
601857,中国石油,2024-03-11,8.1936309,8.22964686,8.00454711,8.103591,223114002,2006531744.49
601857,中国石油,2024-03-12,8.05857105,8.06757504,7.79745534,7.81546332,256919902,2250245327.03
601857,中国石油,2024-03-13,7.77044337,7.87849125,7.68040347,7.82446731,173854176,1506428843.71
601857,中国石油,2024-03-14,7.81546332,8.03155908,7.80645933,7.91450721,213697775,1887040143.56
601857,中国石油,2024-03-15,7.9235112,7.99554312,7.82446731,7.96853115,161067415,1417302911.31
601857,中国石油,2024-03-18,7.95052317,8.03155908,7.87849125,7.97753514,108472056,957393644.05
601857,中国石油,2024-03-19,7.99554312,8.14861095,7.98653913,8.0135511,154847775,1389004778.92
601857,中国石油,2024-03-20,8.04056307,8.26566282,7.93251519,8.22964686,183131638,1658626117.62
601857,中国石油,2024-03-21,8.17562292,8.31068277,8.13060297,8.25665883,120783606,1105290822.64
601857,中国石油,2024-03-22,8.20263489,8.31068277,8.06757504,8.17562292,160444702,1454068494.2
601857,中国石油,2024-03-25,8.13960696,8.44574262,8.13060297,8.35570272,180288068,1667558402.75
601857,中国石油,2024-03-26,8.36470671,8.40072267,8.20263489,8.29267479,190946491,1756886631.46
601857,中国石油,2024-03-27,8.22964686,8.31968676,8.18462691,8.25665883,132450804,1213742880.16
601857,中国石油,2024-03-28,8.26566282,8.39171868,8.13960696,8.32869075,157585261,1448963366.28
601857,中国石油,2024-03-29,8.40072267,8.9139501,8.39171868,8.89594212,264647085,2568975097.59
601857,中国石油,2024-04-01,8.8239102,8.9139501,8.69785434,8.76988626,194136016,1897318194.29
601857,中国石油,2024-04-02,8.81490621,9.11203788,8.80590222,8.96797404,222150619,2211912874.05
601857,中国石油,2024-04-03,9.06701793,9.31012566,9.00399,9.16606182,282812551,2879116081.07
601857,中国石油,2024-04-08,9.04900995,9.47219748,9.00399,9.24709773,281490891,2899428549.0
601857,中国石油,2024-04-09,9.21108177,9.38215758,8.97697803,9.11203788,198101747,2010125333.49
601857,中国石油,2024-04-10,9.05801394,9.30112167,9.03100197,9.24709773,179033247,1826061453.62
601857,中国石油,2024-04-11,9.22008576,9.33713763,9.16606182,9.21108177,158878499,1629392485.51
601857,中国石油,2024-04-12,9.17506581,9.28311369,9.13004586,9.24709773,158392436,1621717958.96
601857,中国石油,2024-04-15,9.15705783,9.66128127,9.11203788,9.60725733,267663570,2809133934.65
601857,中国石油,2024-04-16,9.5442294,9.92239698,9.53522541,9.8143491,318585062,3453312340.36
601857,中国石油,2024-04-17,9.67928925,9.84136107,9.52622142,9.84136107,243997534,2623289378.36
601857,中国石油,2024-04-18,9.65227728,9.76032516,9.50821344,9.56223738,260051276,2775276178.49
601857,中国石油,2024-04-19,9.62526531,9.95841294,9.61626132,9.83235708,341766333,3718370991.22
601857,中国石油,2024-04-22,9.7243092,9.94940895,9.51721743,9.57124137,257175836,2763287873.17
601857,中国石油,2024-04-23,9.49020546,9.49020546,9.20207778,9.31912965,249454837,2584610112.13
601857,中国石油,2024-04-24,9.35514561,9.40916955,9.22008576,9.39116157,158228408,1639942725.1
601857,中国石油,2024-04-25,9.32813364,9.49920945,9.25610172,9.49020546,162001712,1687183980.63
601857,中国石油,2024-04-26,9.55323339,9.76932915,9.52622142,9.61626132,244980102,2625222860.62
601857,中国石油,2024-04-29,9.53522541,9.53522541,9.1840698,9.20207778,332167031,3421211088.06
