date,stock_name,close
2022-03-28,上证综指,3214.5027
2022-03-29,上证综指,3203.9393
2022-03-30,上证综指,3266.5959
2022-03-31,上证综指,3252.2029
2022-04-01,上证综指,3282.7166
2022-04-06,上证综指,3283.4261
2022-04-07,上证综指,3236.6951
2022-04-08,上证综指,3251.8502
2022-04-11,上证综指,3167.1259
2022-04-12,上证综指,3213.3295
2022-04-13,上证综指,3186.8244
2022-04-14,上证综指,3225.6412
2022-04-15,上证综指,3211.2448
2022-04-18,上证综指,3195.524
2022-04-19,上证综指,3194.0287
2022-04-20,上证综指,3151.0498
2022-04-21,上证综指,3079.8077
2022-04-22,上证综指,3086.9193
2022-04-25,上证综指,2928.5118
2022-04-26,上证综指,2886.4257
2022-04-27,上证综指,2958.282
2022-04-28,上证综指,2975.4848
2022-04-29,上证综指,3047.0624
2022-05-05,上证综指,3067.7587
2022-05-06,上证综指,3001.5605
2022-05-09,上证综指,3004.1409
2022-05-10,上证综指,3035.8442
2022-05-11,上证综指,3058.7027
2022-05-12,上证综指,3054.994
2022-05-13,上证综指,3084.2845
2022-05-16,上证综指,3073.7488
2022-05-17,上证综指,3093.6965
2022-05-18,上证综指,3085.9768
2022-05-19,上证综指,3096.9648
2022-05-20,上证综指,3146.5673
2022-05-23,上证综指,3146.8573
2022-05-24,上证综指,3070.9272
2022-05-25,上证综指,3107.4641
2022-05-26,上证综指,3123.1079
2022-05-27,上证综指,3130.2394
2022-05-30,上证综指,3149.0607
2022-05-31,上证综指,3186.4271
2022-06-01,上证综指,3182.1566
2022-06-02,上证综指,3195.458
2022-06-06,上证综指,3236.3719
2022-06-07,上证综指,3241.7635
2022-06-08,上证综指,3263.7934
2022-06-09,上证综指,3238.9543
2022-06-10,上证综指,3284.8341
2022-06-13,上证综指,3255.5511
2022-06-14,上证综指,3288.9066
2022-06-15,上证综指,3305.4066
2022-06-16,上证综指,3285.3845
2022-06-17,上证综指,3316.7857
2022-06-20,上证综指,3315.4302
2022-06-21,上证综指,3306.7186
2022-06-22,上证综指,3267.2016
2022-06-23,上证综指,3320.1487
2022-06-24,上证综指,3349.747
2022-06-27,上证综指,3379.1852
2022-06-28,上证综指,3409.2103
2022-06-29,上证综指,3361.5177
2022-06-30,上证综指,3398.6161
2022-07-01,上证综指,3387.6373
2022-07-04,上证综指,3405.4267
2022-07-05,上证综指,3404.0252
2022-07-06,上证综指,3355.3497
2022-07-07,上证综指,3364.398
2022-07-08,上证综指,3356.0778
2022-07-11,上证综指,3313.584
2022-07-12,上证综指,3281.4665
2022-07-13,上证综指,3284.2918
2022-07-14,上证综指,3281.744
2022-07-15,上证综指,3228.0609
2022-07-18,上证综指,3278.1033
2022-07-19,上证综指,3279.4313
2022-07-20,上证综指,3304.7243
2022-07-21,上证综指,3272.0012
2022-07-22,上证综指,3269.9739
2022-07-25,上证综指,3250.388
2022-07-26,上证综指,3277.4356
2022-07-27,上证综指,3275.7553
2022-07-28,上证综指,3282.5758
2022-07-29,上证综指,3253.2382
2022-08-01,上证综指,3259.9585
2022-08-02,上证综指,3186.2664
2022-08-03,上证综指,3163.6741
2022-08-04,上证综指,3189.0391
