code,name,date,open,high,low,close,volume,amount,daily_return
1,上证综指,2024-11-12,3469.8908,3489.4244,3402.0422,3421.9701,81792652400,1039600859287.1,-1.3860141034217288
1,上证综指,2024-11-13,3406.9164,3442.2983,3404.5254,3439.2778,67366234800,829435316989.4,0.5057817425114131
1,上证综指,2024-11-14,3429.5054,3441.7746,3376.1528,3379.8389,63155669000,762884198784.3,-1.728237829465229
1,上证综指,2024-11-15,3369.8092,3391.3204,3330.7263,3330.7263,63028558300,745937122428.3,-1.4531047618867365
1,上证综指,2024-11-18,3344.6904,3386.9031,3309.0076,3323.8486,74395069200,755809644463.3,-0.2064924998490536
1,上证综指,2024-11-19,3324.8831,3346.7577,3284.133,3346.0098,62502415100,651575376256.0,0.6667331357992579
1,上证综指,2024-11-20,3337.6778,3375.2482,3333.0023,3367.9893,56615428900,627858323157.0,0.6568868985380893
1,上证综指,2024-11-21,3362.9444,3378.5175,3348.8552,3370.4039,53033183000,614517433700.1,0.07169262681445687
1,上证综指,2024-11-22,3368.043,3372.0034,3267.1916,3267.1916,63068779000,707626460331.8,-3.0623125020713293
1,上证综指,2024-11-25,3274.884,3285.4555,3232.9178,3263.7597,53889739000,596502088292.4,-0.10504128377410993
1,上证综指,2024-11-26,3256.8576,3285.3281,3252.8661,3259.7572,47221930400,509490596260.8,-0.12263464126970325
1,上证综指,2024-11-27,3250.591,3309.8805,3227.3553,3309.7789,51120230300,571617596023.5,1.5345222644189471
1,上证综指,2024-11-28,3308.2797,3319.2559,3290.3641,3295.6983,51195304700,558164131747.0,-0.4254241877002629
1,上证综指,2024-11-29,3295.2096,3357.5013,3293.6899,3326.4557,58022710200,663851511036.4,0.9332589697303328
1,上证综指,2024-12-02,3328.482,3369.3032,3323.0091,3363.9823,66847776200,709509517836.3,1.1281256503731685
1,上证综指,2024-12-03,3366.2853,3386.6176,3348.3742,3378.8063,66303013900,683982592769.1,0.4406681925763989
1,上证综指,2024-12-04,3376.5715,3388.0241,3352.9434,3364.6498,62102886200,653467546717.8,-0.41897933006695975
1,上证综指,2024-12-05,3353.0573,3377.055,3353.0573,3368.8553,54388574600,565551128328.2,0.12499071968796738
1,上证综指,2024-12-06,3370.9405,3418.2608,3364.2061,3404.0764,69818657200,685981058113.5,1.0454916244102108
1,上证综指,2024-12-09,3402.6288,3426.6451,3385.9588,3402.5343,69490520500,649443191295.4,-0.0453015684371838
1,上证综指,2024-12-10,3490.2892,3494.8669,3417.7654,3422.6607,79466803400,860483994841.6,0.5915120385413974
1,上证综指,2024-12-11,3416.0874,3437.8103,3416.0874,3432.4902,68154461000,692929618702.8,0.2871888528126698
